CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ALONA BAY / PACIFIC OCEAN,,-8.4,-8.4,124.8,124.8,SUBAERIAL,,,s ME00AL138 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512451,,,0.70719,,19.018,,15.625,,39.252,,,,,,,,,,,,,,,181968
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ALOR / PACIFIC OCEAN,,-8.4,-8.4,124.76,124.76,SUBAERIAL,,,s ME00AL143 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512593,,,0.707268,,19.077,,15.705,,39.485,,,,,,,,,,,,,,,181969
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ALOR / PACIFIC OCEAN,,-8.45,-8.45,124.45,124.45,SUBAERIAL,,,s ME00AL147 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,61.31,0.53,,17.17,,,,6.13,6.66,3.02,0.12,,1.19,3.14,0.06,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,146,39,,,,13,22,46,18,,,,,16,238,16,74,2.7,,,,,,,,,,,,4.76,324,7.5,15.6,1.9,7.8,2,0.64,2.26,0.38,2.44,0.55,1.61,0.26,1.71,0.26,1.95,,,,,,,,,,14.97,,2.24,0.91,0.51264,,,0.707334,,18.974,,15.689,,39.34,,,,,,,,,,,,,,,181970
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ALOR / PACIFIC OCEAN,S COAST,-8.45,-8.45,124.42,124.42,SUBAERIAL,,,s ME00AL151_LEACHED [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512226,,,0.710888,,18.985,,15.699,,39.356,,,,,,,,,,,,,,,181971
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ALOR / PACIFIC OCEAN,S COAST,-8.45,-8.45,124.42,124.42,SUBAERIAL,,,s ME00AL151_LEACHATE [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512264,,,0.710084,,18.937,,15.667,,39.229,,,,,,,,,,,,,,,181972
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ALOR / PACIFIC OCEAN,,-8.43,-8.43,124.35,124.35,SUBAERIAL,,,s ME00AL152 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512366,,,0.707152,,19.157,,15.719,,39.569,,,,,,,,,,,,,,,181973
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / LIRANG / PACIFIC OCEAN,,-8.02,-8.02,125.74,125.74,SUBAERIAL,,,s J82X_LEACHED [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512842,,,0.705291,,19.082,,15.674,,39.445,,,,,,,,,,,,,,,181974
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / LIRANG / PACIFIC OCEAN,,-8.02,-8.02,125.74,125.74,SUBAERIAL,,,s J82X_LEACHATE [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512821,,,0.707608,,18.833,,15.646,,39.142,,,,,,,,,,,,,,,181975
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / LIRANG / PACIFIC OCEAN,,-8.02,-8.02,125.74,125.74,SUBAERIAL,,,s J82X [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,52.77,1.15,,16.93,,,,8.76,6.8,7.47,0.1,,0.25,4.61,0.2,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,,333,127,,,,54,537,51,16.2,,,,,3,173,23,76,2.3,,,,,,,,,,,,0.11,100,8.9,19.5,2.6,11.2,3,1.01,3.47,0.59,3.77,0.81,2.3,0.34,2.18,0.32,1.97,,,,,,,,,,3.16,,1.71,0.96,0.512826,,,0.705386,,19.013,,15.647,,39.31,,,,,,,,,,,,,,,181976
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / LIRANG / PACIFIC OCEAN,,-8.03,-8.03,125.75,125.75,SUBAERIAL,,,s J78 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512473,,,0.707014,,19.088,,15.678,,39.483,,,,,,,,,,,,,,,181977
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / LIRANG / PACIFIC OCEAN,,-8.03,-8.03,125.75,125.75,SUBAERIAL,,,s J87 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512509,,,0.70716,,19.093,,15.683,,39.481,,,,,,,,,,,,,,,181978
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / LIRANG / PACIFIC OCEAN,,-7.97,-7.97,125.77,125.77,SUBAERIAL,,,s J103X [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512345,,,0.709418,,19.123,,15.707,,39.527,,,,,,,,,,,,,,,181979
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,SOUTH COAST,-7.94,-7.94,126.44,126.44,SUBAERIAL,,,s WEIA1 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511998,,,0.716148,,19.023,,15.702,,39.482,,,,,,,,,,,,,,,181980
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.81,-7.81,126.18,126.18,SUBAERIAL,,,s J15X [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,65.23,0.74,,16.11,,,,4.76,4.32,1.51,0.11,,3.29,3.18,0.21,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,54,1,,,,1,4,70,18.2,,,,,118,338,33,186,11,,,,,,,,,,,,5.4,831,41,73.9,8.7,32.2,6.3,1.52,5.78,0.88,4.98,1,3,0.43,2.85,0.43,4.82,,,,,,,,,,24.86,,15.92,3.34,0.512448,,,0.708165,,19.079,,15.697,,39.497,,,,,,,,,,,,,,,181981
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.77,-7.77,125.89,125.89,SUBAERIAL,,,s J101 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,55.21,0.76,,18.38,,,,7.03,8.93,4.6,0.13,,1.5,2.49,0.19,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,,255,45,,,,20,29,66,17.6,,,,,44,588,27,86,4.4,,,,,,,,,,,,2.71,661,36.8,59.1,6.9,26,4.8,1.31,4.39,0.64,3.62,0.76,2.28,0.33,1.16,0.33,3.51,,,,,,,,,,26.58,,10.1,2.14,0.512536,,,0.707299,,19.077,,15.704,,39.484,,,,,,,,,,,,,,,181982
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.77,-7.77,125.89,125.89,SUBAERIAL,,,s J101 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512534,,,,,,,,,,,,,,,,,,,,,,,,181983
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.85,-7.85,126.16,126.16,SUBAERIAL,,,s J27 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,73.36,0.26,,14.4,,,,2.01,3.33,0.54,0.05,,2.65,3.13,0.05,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,27,8,,,,4,12,28,15.5,,,,,47,168,17,100,6.6,,,,,,,,,,,,2.1,440,13,24.6,2.6,9.3,2,0.55,2.13,0.36,2.26,0.5,1.47,0.24,1.58,0.24,2.71,,,,,,,,,,13.1,,4.75,1.34,0.51244,,,0.708491,,19.009,,15.675,,39.357,,,,,,,,,,,,,,,181984
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.85,-7.85,126.16,126.16,SUBAERIAL,,,s J27 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512456,,,,,,,,,,,,,,,,,,,,,,,,181985
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.71,-7.71,126.8,126.8,SUBAERIAL,,,s H260_LEACHED [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512355,,,0.708206,,18.973,,15.67,,39.332,,,,,,,,,,,,,,,181986
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,SOUTH COAST,-7.94,-7.94,126.44,126.44,SUBAERIAL,,,s WEIA2_LEACHED [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511937,,,0.716732,,19.012,,15.701,,39.432,,,,,,,,,,,,,,,181987
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,SOUTH COAST,-7.94,-7.94,126.44,126.44,SUBAERIAL,,,s WEIA2_LEACHATE [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511947,,,0.710673,,18.929,,15.689,,39.476,,,,,,,,,,,,,,,181988
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,SOUTH COAST,-7.94,-7.94,126.44,126.44,SUBAERIAL,,,s WEIK2_LEACHED [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512673,,,0.707113,,18.948,,15.685,,39.332,,,,,,,,,,,,,,,181989
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.88,-7.88,126.4,126.4,SUBAERIAL,,,s H110X_LAECHED [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512564,,,0.708561,,18.953,,15.68,,39.308,,,,,,,,,,,,,,,181990
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.88,-7.88,126.4,126.4,SUBAERIAL,,,s H110X_LAECHATE [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512553,,,0.707922,,18.653,,15.652,,38.952,,,,,,,,,,,,,,,181991
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.9,-7.9,126.4,126.4,SUBAERIAL,,,s H107_LEACHED [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512209,,,0.712122,,19.096,,15.716,,39.516,,,,,,,,,,,,,,,181992
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.94,-7.94,125.88,125.88,SUBAERIAL,,,s J119X [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512502,,,0.706462,,19.119,,15.706,,39.578,,,,,,,,,,,,,,,181993
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.51,-7.51,127.35,127.35,SUBAERIAL,,,s RO6 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512384,,,0.709048,,19.157,,15.683,,39.495,,,,,,,,,,,,,,,181994
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.55,-7.55,127.35,127.35,SUBAERIAL,,,s RO8B2 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,60.86,0.67,,17.24,,,,5.14,7.1,3.24,0.1,,2.17,2.8,0.1,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,183,24,,,,10,43,60,18.4,,,,,83,362,25,134,15.2,,,,,,,,,,,,4.69,610,26.7,49.1,5.7,20.8,4.2,0.94,4.11,0.64,3.92,0.84,2.39,0.36,2.34,0.35,3.68,,,,,,,,,,34.25,,9.77,2.83,0.51243,,,0.70866,,19.145,,15.667,,39.443,,,,,,,,,,,,,,,181995
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.55,-7.55,127.35,127.35,SUBAERIAL,,,s RO8C5 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,72.09,0.41,,14.85,,,,2.01,2.1,0.4,0.03,,3.87,3.94,0.07,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,22,2,,,,1,6,28,18.8,,,,,141,213,32,215,20.3,,,,,,,,,,,,4.62,860,38.6,75.4,8.4,30.3,6.2,1.13,5.65,0.89,5.17,1.08,2.95,0.44,2.71,0.4,4.03,,,,,,,,,,25.46,,14.45,3.64,0.512406,,,0.709266,,19.162,,15.684,,39.495,,,,,,,,,,,,,,,181996
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ALOR / PACIFIC OCEAN,,-8.27,-8.27,124.71,124.71,SUBAERIAL,,,s ME99AL16 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,51.17,0.95,,20.85,,,,8.05,10.46,3.05,0.14,,1.25,2.95,0.23,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,231,19,,,,17,74,68,20.9,,,,,44,609,25,90,5.6,,,,,,,,,,,,2.92,564,31.5,61.2,7.2,27.4,5.6,1.48,4.91,0.73,4.3,0.9,2.45,0.37,2.31,0.34,2.57,,,,,,,,,,5.36,,7.34,1.73,,,,,,,,,,,,,,,,,,,,,,,,,181997
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ALOR / PACIFIC OCEAN,S COAST,-8.45,-8.45,124.42,124.42,SUBAERIAL,,,s ME00AL151 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,63.09,0.41,,18.08,,,,3.93,5.86,2.02,0.06,,2.54,3.49,0.1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,84,9,,,,6,15,42,18.3,,,,,97,365,11,112,8.2,,,,,,,,,,,,3.66,464,20.4,39.1,4.2,14.6,2.7,0.72,2.27,0.34,1.94,0.39,1.06,0.16,1.06,0.16,2.73,,,,,,,,,,28.87,,7.88,2.29,,,,,,,,,,,,,,,,,,,,,,,,,181998
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,SOUTH COAST,-7.94,-7.94,126.44,126.44,SUBAERIAL,,,s WEIA2 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,69.07,0.29,,14.98,,,,2.31,2.02,1.31,0.05,,6.61,2.89,0.2,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,29,12,,,,7,2,32,17.1,,,,,234,46,15,93,14.2,,,,,,,,,,,,1.79,525,19.1,40.6,4.7,17.1,3.9,0.57,3.28,0.5,2.55,0.45,1.14,0.17,1.04,0.15,2.51,,,,,,,,,,4.52,,11.18,4.16,,,,,,,,,,,,,,,,,,,,,,,,,181999
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.9,-7.9,126.4,126.4,SUBAERIAL,,,s H107 [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,76.21,0.14,,13.27,,,,1.39,2.14,0.15,0.02,,3.08,3.41,0.02,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,5,3,,,,2,7,34,14.9,,,,,92,97,26,151,7.1,,,,,,,,,,,,11.37,465,21.5,42.2,4.8,17.4,3.8,0.7,4.1,0.69,4.31,0.91,2.65,0.4,2.63,0.39,4.28,,,,,,,,,,17.92,,9.04,2.29,,,,,,,,,,,,,,,,,,,,,,,,,182000
[7176],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / PACIFIC OCEAN,,-7.88,-7.88,126.4,126.4,SUBAERIAL,,,s H110X [7176],NOT GIVEN [7176],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7176] ,50.55,1.05,,17.14,,,,9.61,9.28,7.01,0.15,,0.84,3.24,0.06,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,434,24,,,,20,5,56,17.4,,,,,25,152,16,27,1.3,,,,,,,,,,,,1.1,260,3.4,8,1.2,5.7,1.8,0.66,2.22,0.38,2.48,0.55,1.58,0.24,1.52,0.23,0.87,,,,,,,,,,1.88,,0.89,0.25,,,,,,,,,,,,,,,,,,,,,,,,,182001
[3070],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / AMBON / BANDA SEA / PACIFIC OCEAN,LAITIMOR,-3.68,-3.68,128.17,128.17,SUBAERIAL,,,s ABN9 [3070],BASALT [3070],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3070] ,49.3,0.98,,16.75,,,,6.69,10.84,6.49,0.11,,0.28,2.82,0.15,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214677
[3070],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / AMBON / BANDA SEA / PACIFIC OCEAN,HITU,-3.68,-3.68,128.17,128.17,SUBAERIAL,,,s AMB1 [3070],DACITE [3070],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3070] ,65.2,0.57,,15.5,,,,4.36,4.08,2.5,0.09,,2.42,2.03,0.11,,,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214678
