El,Energy (keV),I,LDE1,LDE2,LDE4,LIF,Lambda (A),Line,Line old,PET,STE,TAP,Z
Co,0.776108189,100,74.536,45.63428571,111.804,1110.626568,15.972,"L$\alpha$1,2","L$\alpha$1,2",511.5717227,44.54342629,173.6289164,27
Co,0.793699577,,72.884,44.62285714,109.326,1086.010877,15.618,Al2,Al2,500.2333562,43.5561753,169.7806422,27
Cu,8.046424677,100,7.18928,4.4016,10.78392,107.1241463,1.54056,K$\alpha$1,K_1,49.34303363,4.29638247,16.74716776,29
Cu,0.949666743,20,60.914,37.29428571,91.371,907.6514267,13.053,L$\beta$1,L$\beta$1,418.078243,36.40278884,141.89696,29
Se,12.59372143,,4.5934,2.812285714,6.8901,68.4441354,0.9843,K$\beta$5,K$\beta$5,31.52642416,2.745059761,10.70015918,34
Br,13.28232987,8,4.35526,2.666485714,6.53289,64.89572106,0.93327,K$\beta$3,K_3,29.8919698,2.60274502,10.14542066,35
Rb,0.096317016,10,600.6,367.7142857,900.9,8949.263665,128.7,MZ,MZ,4122.16884,358.9243028,1399.075979,37
Sr,14.14019278,150,4.091033333,2.504714286,6.13655,60.95860134,0.87665,"K$\alpha$1,2","K_1,2",28.07847175,2.444840637,9.529914198,38
Sr,16.10079231,,3.592866667,2.199714286,5.3893,53.53564954,0.7699,K$\beta$4,K_4,24.65934569,2.147131474,8.369452964,38
Sr,0.114038638,10,507.2666667,310.5714286,760.9,7558.546701,108.7,MZ,MZ,3481.583162,303.1474104,1181.659355,38
Y,1.995492595,45,28.98933333,17.74857143,43.484,431.9566891,6.212,L$\beta$1,L$\beta$1,198.9659117,17.32430279,67.5296036,39
Y,1.7606454,1,32.85613333,20.116,49.2842,489.5740929,7.0406,L$\eta$,L$\eta$,225.5053763,19.63513944,76.53717436,39
Nb,2.162633682,10,26.74886667,16.37685714,40.1233,398.5725284,5.7319,L$\alpha$2,L_2,183.5886525,15.98537849,62.31051753,41
Nb,0.304570025,10,189.9333333,116.2857143,284.9,2830.109022,40.7,M3-N1,M3-N1,1303.591855,113.5059761,442.4428311,41
Mo,0.192544268,10,300.44,183.9428571,450.66,4476.717908,64.38,MZ,MZ,2062.045299,179.5458167,699.8641146,42
Na,1.040797306,100,55.58046667,34.02885714,83.3707,828.1789058,11.9101,"K$\alpha$1,2","K_1,2",381.4719744,33.21541833,129.472687,11
Na,1.047224804,3,55.23933333,33.82,82.859,823.0958353,11.837,SK$\alpha$+,SK_+,379.1306337,33.01155378,128.6780293,11
Na,1.071484139,,53.98866667,33.05428571,80.983,804.460228,11.569,AK,AK,370.5467856,32.26414343,125.7646465,11
Si,1.739079197,50,33.26358,20.36545714,49.89537,495.6452678,7.12791,K$\alpha$2,K_2,228.3018531,19.87863347,77.48630664,14
F,0.686759003,,84.23333333,51.57142857,126.35,1255.12206,18.05,AK,AK,578.1285747,50.33864542,196.2185037,9
Na,1.051756321,10,55.00133333,33.67428571,82.502,819.549507,11.786,SK$\alpha\4,SK$\alpha\4,377.4971402,32.86932271,128.1236169,11
Mg,1.295324876,5,44.65906667,27.34228571,66.9886,665.4441602,9.5698,K$\beta$1,K_1,306.5138412,26.68868526,104.0316807,12
Al,1.557286432,5,37.14666667,22.74285714,55.72,553.5053518,7.96,K$\beta$,K_,254.9531,22.19920319,86.53181659,13
Al,1.506453103,,38.40013333,23.51028571,57.6002,572.1826806,8.2286,SK$\alpha\5,SK$\alpha\5,263.5561656,22.94828685,89.45172186,13
P,2.012337662,50,28.74666667,17.6,43.12,428.340825,6.16,K$\alpha$2,K_2,197.3003889,17.17928287,66.96432038,15
S,2.470060775,,23.41966667,14.33857143,35.1295,348.9656543,5.0185,AK,AK,160.7389613,13.99581673,54.55526653,16
