El,Energy (keV),I,LDE1,LDE2,LDE4,LIF,Lambda (A),Line,Line old,PET,STE,TAP,Z
Pd,0.444301075,10,130.2,79.71428571,195.3,1940.050165,27.9,M3-N1,M3-N1,893.6170213,77.80876494,303.2961913,46
Pd,0.284311927,1,203.4666667,124.5714286,305.2,3031.762982,43.6,MZ,MZ,1396.476779,121.5936255,473.9682416,46
Ag,3.233910668,11,17.88794,10.9518,26.83191,266.5399459,3.83313,L$\beta$3,L_3,122.7724091,10.69000398,41.66930931,47
Cd,26.05679692,8,2.220073333,1.359228571,3.33011,33.08028907,0.47573,K$\beta$3,K_3,15.23729124,1.326737052,5.171580541,48
In,4.236500342,,13.65466667,8.36,20.482,203.4618919,2.926,Al1,Al1,93.71768474,8.160159363,31.80805218,49
Sn,25.19102585,150,2.296373333,1.405942857,3.44456,34.21720019,0.49208,"K$\alpha$1,2","K_1,2",15.76097003,1.372334661,5.349318632,50
Sn,29.18766188,,1.981933333,1.213428571,2.9729,29.53187474,0.4247,"K-O2,3","K-O2,3",13.60283688,1.184422311,4.616842024,50
Sn,29.18766188,,1.981933333,1.213428571,2.9729,29.53187474,0.4247,AK,AK,13.60283688,1.184422311,4.616842024,50
Sn,3.749716412,6,15.4273,9.445285714,23.14095,229.8750838,3.30585,L$\beta$3,L_3,105.8840082,9.219501992,35.93733742,50
Sn,3.791973717,1,15.25538,9.340028571,22.88307,227.3133832,3.26901,L$\beta$6,L_6,104.7040494,9.116760956,35.536856,50
Sn,4.376036997,2,13.21926667,8.093428571,19.8289,196.9741972,2.8327,"LG2,3","LG2,3",90.72935255,7.899960159,30.79380363,50
Sn,4.156523489,,13.9174,8.520857143,20.8761,207.3767601,2.9823,Al2,Al2,95.52093342,8.317171315,32.42007998,50
Sb,3.979288184,1,14.53727333,8.900371429,21.80591,216.6132068,3.11513,L$\beta$6,L_6,99.77538321,8.687613546,33.86405249,51
Sb,0.77571965,50,74.57333333,45.65714286,111.86,1111.182854,15.98,M2-N4,M2-N4,511.827957,44.56573705,173.7158831,51
Te,4.938842185,,11.71286667,7.171142857,17.5693,174.5280254,2.5099,Al1,Al1,80.3902997,6.999721116,27.28469931,52
Te,0.580880975,10,99.58666667,60.97142857,149.38,1483.895001,21.34,"M4-O2,3","M4-O2,3",683.5049188,59.51394422,231.9835385,52
I,4.800111522,8,12.05138667,7.3784,18.07708,179.5721559,2.58244,LG1,LG1,82.71370396,7.202023904,28.0732694,53
I,5.064759959,2,11.42166667,6.992857143,17.1325,170.1889885,2.4475,"LG2,3","LG2,3",78.39167239,6.825697211,26.60635944,53
I,0.63051882,,91.74666667,56.17142857,137.62,1367.074776,19.66,"Am4,5","Am4,5",629.6957218,54.82868526,213.720542,53
Cs,5.357189161,,10.7982,6.611142857,16.1973,160.8989992,2.3139,Al2,Al2,74.11256005,6.45310757,25.15401638,55
Ba,3.953436454,2,14.63233333,8.958571429,21.9485,218.0296521,3.1355,L$\iota$,L_,100.4278197,8.744422311,34.08549132,56
Ba,5.994777058,,9.649733333,5.908,14.4746,143.7862269,2.0678,Al1,Al1,66.23015328,5.766772908,22.47870482,56
La,5.061037848,5,11.43006667,6.998,17.1451,170.314153,2.4493,L$\beta$4,L_4,78.4493251,6.830717131,26.62592693,57
La,1.023109937,1,56.54133333,34.61714286,84.812,842.496337,12.116,Mg,Mg,388.0668039,33.78964143,131.7109912,57
Ce,6.050666276,5,9.5606,5.853428571,14.3409,142.4580922,2.0487,LG1,LG1,65.61839396,5.713505976,22.27107194,58
Nd,5.720614703,50,10.1122,6.191142857,15.1683,150.6772295,2.1669,L$\beta$1,L$\beta$1,69.40425532,6.04314741,23.55600419,60
Nd,6.088408644,20,9.501333333,5.817142857,14.252,141.574987,2.036,"L$\beta$2,15","L$\beta$2,15",65.21162205,5.678087649,22.13301238,60
Nd,0.750999636,1,77.028,47.16,115.542,1147.758711,16.506,MZ,MZ,528.6753603,46.03266932,179.4339403,60
Sm,4.993755791,2,11.58406667,7.092285714,17.3761,172.608836,2.4823,L$\iota$,L_,79.50629147,6.922749004,26.98466436,62
Dy,7.634462243,20,7.57722,4.639114286,11.36583,112.9046614,1.62369,"L$\beta$2,15","L$\beta$2,15",52.005628,4.528219124,17.65085996,66
Dy,8.417421537,5,6.872413333,4.2076,10.30862,102.4026622,1.47266,LG1,LG1,47.16824525,4.10701992,16.00903832,66
Ru,0.276696429,1,209.0666667,128,313.6,3115.206,44.8,"M4,5O2,3","M4,5O2,3",1434.911919,124.940239,487.0132391,44
Ru,2.963990244,1,19.51693333,11.94914286,29.2754,290.8128244,4.1822,LG1,LG1,133.9528712,11.66350598,45.46399037,44
Ru,21.82394366,,2.650666667,1.622857143,3.976,39.49636179,0.568,K$\beta$5+2,K$\beta$5+2,18.19263326,1.584063745,6.174632139,44
Ru,0.460817844,100,125.5333333,76.85714286,188.3,1870.514317,26.9,Mg,Mg,861.5877374,75.01992032,292.4253601,44
Rh,22.69498352,8,2.548933333,1.560571429,3.8234,37.98048029,0.5462,K$\beta$3,K_3,17.49439488,1.523266932,5.937648018,45
Rh,23.21348315,,2.492,1.525714286,3.738,37.13214295,0.534,AK,AK,17.10363761,1.489243028,5.805023877,45
Pd,3.3297518,,17.37306667,10.63657143,26.0596,258.8680557,3.7228,Al2,Al2,119.2386182,10.38231076,40.4699305,46
Ag,22.10137822,150,2.617393333,1.602485714,3.92609,39.00057119,0.56087,"K$\alpha$1,2","K_1,2",17.96426447,1.564179283,6.097123112,47
Ag,22.15906044,100,2.61058,1.598314286,3.91587,38.89904885,0.55941,K$\alpha$1,K_1,17.91750172,1.56010757,6.081251699,47
Ag,3.518991654,10,16.4388,10.06457143,24.6582,244.9469789,3.5226,LG1,LG1,112.8263555,9.823984064,38.29359009,47
Cd,23.16966038,100,2.496713333,1.5286,3.74507,37.20237415,0.53501,K$\alpha$1,K_1,17.13598719,1.492059761,5.816003417,48
Sn,3.904190485,17,14.8169,9.071571429,22.22535,220.7797949,3.17505,"L$\beta$2,15","L$\beta$2,15",101.6945779,8.854721116,34.5154327,50
Sb,3.932017586,6,14.71204,9.007371429,22.06806,219.2173244,3.15258,L$\beta$3,L_3,100.9748799,8.792055777,34.27116512,51
Te,4.028900438,75,14.35826,8.790771429,21.53739,213.9458117,3.07677,L$\beta$1,L$\beta$1,98.54673988,8.580633466,33.4470474,52
Te,0.246441352,1,234.7333333,143.7142857,352.1,3497.653165,50.3,M3-M5,M3-M5,1611.072981,140.2788845,546.8028109,52
I,3.779510274,7,15.30568667,9.370828571,22.95853,228.0629796,3.27979,L$\eta$,L$\eta$,105.0493251,9.146824701,35.65404356,53
I,4.853182993,,11.9196,7.297714286,17.8794,177.6084635,2.5542,Al2,Al2,81.80919698,7.123266932,27.76627713,53
Xe,4.781300625,,12.0988,7.407428571,18.1482,180.2786401,2.5926,Al3,Al3,83.03912148,7.230358566,28.18371705,54
Ba,4.450140548,10,12.99914,7.958657143,19.49871,193.6941913,2.78553,L$\alpha$2,L_2,89.21853123,7.768410359,30.28102652,56
La,0.637982501,1,90.67333333,55.51428571,136.01,1351.081531,19.43,MZ,MZ,622.3289865,54.187251,211.2202508,57
Ce,6.546952572,,8.835866667,5.409714286,13.2538,131.659175,1.8934,Al1,Al1,60.64424617,5.280398406,20.58283185,58
Sm,6.316722805,6,9.157913333,5.606885714,13.73687,136.4578439,1.96241,L$\beta$3,L_3,62.85458705,5.472856574,21.33302791,62
Sm,6.716151054,,8.613266667,5.273428571,12.9199,128.342315,1.8457,Al3,Al3,59.11644933,5.147370518,20.0642932,62
Eu,6.57020194,6,8.8046,5.390571429,13.2069,131.1932848,1.8867,L$\beta$3,L_3,60.42964997,5.261713147,20.50999728,63
Eu,7.794755706,1,7.4214,4.543714286,11.1321,110.5828594,1.5903,LG3,LG3,50.93617021,4.435099602,17.28788291,63
Gd,1.401628223,1,41.272,25.26857143,61.908,614.9750416,8.844,Mg,Mg,283.266987,24.66454183,96.1416314,64
Tb,8.251347933,,7.010733333,4.292285714,10.5161,104.4637048,1.5023,Al2,Al2,48.11759323,4.189681275,16.33124976,65
Dy,7.202663521,5,8.031473333,4.917228571,12.04721,119.6732809,1.72103,L$\beta$4,L_4,55.1233585,4.799685259,18.70902667,66
Ru,19.14706291,50,3.021246667,1.849742857,4.53187,45.01820349,0.64741,K$\alpha$2,K_2,20.7360787,1.805525896,7.037884847,44
Rh,3.000726216,25,19.278,11.80285714,28.917,287.252589,4.131,"L$\beta$2,15","L$\beta$2,15",132.3129719,11.52071713,44.90740381,45
Rh,2.691593655,10,21.4921,13.15842857,32.23815,320.2438722,4.60545,L$\alpha$2,L_2,147.5092656,12.84388446,50.06506969,45
Rh,23.21348315,,2.492,1.525714286,3.738,37.13214295,0.534,K$\beta$4,K_4,17.10363761,1.489243028,5.805023877,45
Rh,22.91312384,,2.524666667,1.545714286,3.787,37.61889388,0.541,K$\beta$5+,K$\beta$5+,17.3278426,1.50876494,5.881119696,45
Rh,3.363451363,5,17.199,10.53,25.7985,256.2743686,3.6855,"LG2,3","LG2,3",118.0439259,10.27828685,40.0644485,45
Rh,2.518641933,1,22.96793333,14.062,34.4519,342.2345842,4.9217,L$\eta$,L$\eta$,157.6385267,13.72585657,53.50297007,45
Pd,3.328142619,10,17.38146667,10.64171429,26.0722,258.9932203,3.7246,LG1,LG1,119.2962709,10.38733068,40.489498,46
Ag,21.98652004,50,2.631066667,1.610857143,3.9466,39.20431122,0.5638,K$\alpha$2,K_2,18.05811027,1.572350598,6.128974648,47
Ag,0.6,50,96.41333333,59.02857143,144.62,1436.610624,20.66,M2-N4,M2-N4,661.7250057,57.61752988,224.5913732,47
Ag,0.568102658,100,101.8266667,62.34285714,152.74,1517.272208,21.82,Mg,Mg,698.8789751,60.85258964,237.2015374,47
Cd,23.10617358,150,2.503573333,1.5328,3.75536,37.30459185,0.53648,"K$\alpha$1,2","K_1,2",17.18307024,1.496159363,5.831983538,48
Cd,22.98023803,50,2.517293333,1.5412,3.77594,37.50902724,0.53942,K$\alpha$2,K_2,17.27723633,1.504358566,5.863943782,48
Cd,2.956250075,1,19.56803333,11.98042857,29.35205,291.5742419,4.19315,L$\eta$,L$\eta$,134.3035919,11.69404382,45.58302597,48
Cd,3.536964647,,16.35526667,10.01342857,24.5329,243.7022872,3.5047,Al3,Al3,112.2530313,9.774063745,38.09900221,48
Te,4.172501077,1,13.86410667,8.488228571,20.79616,206.5826607,2.97088,L$\beta$6,L_6,95.155159,8.285322709,32.29593509,52
Te,4.34109613,,13.32566667,8.158571429,19.9885,198.5596146,2.8555,Al3,Al3,91.45962022,7.963545817,31.04165858,52
Ba,5.155655375,20,11.2203,6.869571429,16.83045,167.1885167,2.40435,"L$\beta$2,15","L$\beta$2,15",77.00960879,6.705358566,26.13728307,56
Ce,5.72299169,,10.108,6.188571429,15.162,150.6146472,2.166,Al3,Al3,69.37542896,6.04063745,23.54622044,58
Pr,0.953685182,45,60.65733333,37.13714286,90.986,903.8269551,12.998,MB,MB,416.3166323,36.24940239,141.2990643,59
Nd,6.900467602,1,8.3832,5.132571429,12.5748,124.9141977,1.7964,LG3,LG3,57.53740563,5.009880478,19.52836122,60
Nd,0.973227605,,59.43933333,36.39142857,89.159,885.6780987,12.737,Am5,Am5,407.9569892,35.52151394,138.4617774,60
Pm,5.960475069,50,9.705266667,5.942,14.5579,144.6137035,2.0797,L$\beta$1,L$\beta$1,66.61130176,5.799960159,22.60806771,61
Pm,6.337747329,20,9.127533333,5.588285714,13.6913,136.0051655,1.9559,"L$\beta$2,15","L$\beta$2,15",62.64607641,5.454701195,21.2622588,61
Sm,6.204017897,50,9.32428,5.708742857,13.98642,138.9367969,1.99806,L$\beta$1,L$\beta$1,63.99643102,5.572278884,21.72057305,62
Sm,6.585875115,20,8.783646667,5.377742857,13.17547,130.8810689,1.88221,"L$\beta$2,15","L$\beta$2,15",60.28583848,5.249191235,20.46118725,62
Eu,1.345782217,1,42.98466667,26.31714286,64.477,640.4946979,9.211,Mg,Mg,295.0217342,25.68804781,100.1312265,63
Gd,1.20889409,45,47.852,29.29714286,71.778,713.0205876,10.254,MB,MB,328.4282773,28.59681275,111.4695034,64
Dy,1.324783584,45,43.666,26.73428571,65.499,650.6469317,9.357,MB,MB,299.6980096,26.09521912,101.7183678,66
Ru,0.486117647,1,119,72.85714286,178.5,1773.164129,25.5,M2-N4,M2-N4,816.7467399,71.11553785,277.2061964,44
Rh,20.21262718,100,2.861973333,1.752228571,4.29296,42.64494499,0.61328,K$\alpha$1,K_1,19.64291924,1.710342629,6.666863377,45
Rh,0.209038786,1,276.7333333,169.4285714,415.1,4123.475799,59.3,M2-M4,M2-M4,1899.336536,165.3784861,644.640292,45
Rh,0.44113879,1,131.1333333,80.28571429,196.7,1953.957335,28.1,M2-N1,M2-N1,900.0228781,78.36653386,305.4703576,45
Rh,0.415973154,10,139.0666667,85.14285714,208.6,2072.168277,29.8,M3-N1,M3-N1,954.4726607,83.10756972,323.9507707,45
Pd,23.78722751,8,2.431893333,1.488914286,3.64784,36.23652122,0.52112,K$\beta$3,K_3,16.69110043,1.453322709,5.665007571,46
Pd,24.34406913,,2.376266667,1.454857143,3.5644,35.40765391,0.5092,AK,AK,16.30931137,1.420079681,5.535427262,46
Pd,3.552676831,5,16.28293333,9.969142857,24.4244,242.6244816,3.4892,"LG2,3","LG2,3",111.7565774,9.730836653,37.93050433,46
Pd,2.502978294,2,23.11166667,14.15,34.6675,344.3762883,4.9525,L$\iota$,L_,158.6250286,13.81175299,53.83779167,46
Pd,3.606738631,,16.03886667,9.819714286,24.0583,238.9877567,3.4369,Al1,Al1,110.0814459,9.58498008,37.36195986,46
Ag,2.805603965,1,20.61873333,12.62371429,30.9281,307.2302382,4.4183,L$\eta$,L$\eta$,141.5149851,12.32195219,48.03059363,47
Ag,0.204892562,1,282.3333333,172.8571429,423.5,4206.918817,60.5,M3-M5,M3-M5,1937.771677,168.7250996,657.6852894,47
Cd,26.70976083,,2.1658,1.326,3.2487,32.27158716,0.4641,AK,AK,14.86479067,1.294302789,5.045152774,48
Cd,3.400869696,11,17.00976667,10.41414286,25.51465,253.4546899,3.64495,L$\beta$3,L_3,116.7451384,10.1651992,39.62363629,48
Cd,3.36662113,5,17.18280667,10.52008571,25.77421,256.0330792,3.68203,L$\beta$4,L_4,117.9327843,10.26860956,40.02672672,48
Cd,0.505959184,10,114.3333333,70,171.5,1703.628281,24.5,M3-N1,M3-N1,784.717456,68.32669323,266.3353651,48
In,23.99814148,50,2.41052,1.475828571,3.61578,35.91804704,0.51654,K$\alpha$2,K_2,16.54440631,1.440549801,5.615219164,49
In,27.92520838,,2.071533333,1.268285714,3.1073,30.86696302,0.4439,K$\beta$4,K_4,14.21779913,1.237968127,4.825561983,49
In,3.920142436,8,14.75660667,9.034657143,22.13491,219.8813917,3.16213,LG1,LG1,101.2807596,8.818689243,34.37498156,49
In,2.903908188,7,19.92074,12.19637143,29.88111,296.8297613,4.26873,L$\iota$,L_,136.7243651,11.9048247,46.4046434,49
Sb,0.659361702,1,87.73333333,53.71428571,131.6,1307.273946,18.8,M2-N1,M2-N1,602.1505376,52.43027888,204.3716271,51
Te,3.334983427,7,17.34581333,10.61988571,26.01872,258.4619664,3.71696,L$\iota$,L_,119.0515671,10.3660239,40.40644485,52
I,3.925381027,10,14.73691333,9.0226,22.10537,219.5879504,3.15791,L$\alpha$2,L_2,101.145596,8.806920319,34.32910665,53
I,4.506767787,17,12.83580667,7.858657143,19.25371,191.2604366,2.75053,"L$\beta$2,15","L$\beta$2,15",88.09750629,7.670800797,29.90054742,53
I,5.190954774,,11.144,6.822857143,16.716,166.0516055,2.388,Al1,Al1,76.48592999,6.659760956,25.95954498,53
Xe,5.10291454,,11.33626667,6.940571429,17.0044,168.9164825,2.4292,Al2,Al2,77.80553649,6.774661355,26.40742322,54
Cs,4.618996162,50,12.52393333,7.667714286,18.7859,186.6133558,2.6837,L$\beta$1,L$\beta$1,85.95698925,7.484422311,29.17404977,55
Pr,0.925489025,,62.50533333,38.26857143,93.758,931.363151,13.394,Am5,Am5,429.0002288,37.35378486,145.6039135,59
Pm,7.434328895,,7.7812,4.764,11.6718,115.9440733,1.6674,Al1,Al1,53.405628,4.650119522,18.12602399,61
Eu,5.815622801,10,9.947,6.09,14.9205,148.2156605,2.1315,L$\alpha$2,L_2,68.27041867,5.944422311,23.17117677,63
Eu,6.84181477,20,8.455066667,5.176571429,12.6826,125.9850498,1.8118,"L$\beta$2,15","L$\beta$2,15",58.0306566,5.052828685,19.69577202,63
Gd,6.829752066,6,8.47,5.185714286,12.705,126.2075645,1.815,L$\beta$3,L_3,58.13315031,5.061752988,19.73055868,64
Tb,7.514093472,,7.6986,4.713428571,11.5479,114.7132888,1.6497,Al3,Al3,52.83870968,4.600756972,17.93361028,65
Dy,5.742158729,2,10.07426,6.167914286,15.11139,150.111903,2.15877,L$\iota$,L_,69.14385724,6.020474104,23.46762434,66
Ru,21.65315819,16,2.671573333,1.635657143,4.00736,39.80788239,0.57248,K$\beta$1,K_1,18.33612446,1.596557769,6.223333463,44
Ru,2.762893951,3,20.93746667,12.81885714,31.4062,311.9795366,4.4866,L$\beta$3,L_3,143.7025852,12.51243028,48.7730714,44
Rh,3.143241119,10,18.40393333,11.26771429,27.6059,274.2285246,3.9437,LG1,LG1,126.313887,10.99836653,42.87129712,45
Rh,0.495641743,100,116.7133333,71.45714286,175.07,1739.091564,25.01,Mg,Mg,801.0523908,69.74900398,271.8794891,45
Pd,24.29492582,3,2.381073333,1.4578,3.57161,35.47927583,0.51023,K$\beta$2,K_2,16.34230153,1.422952191,5.546624219,46
Pd,2.832801631,10,20.42077333,12.50251429,30.63116,304.2805275,4.37588,L$\alpha$2,L_2,140.1563029,12.2036494,47.56945296,46
Pd,0.560904977,50,103.1333333,63.14285714,154.7,1536.742246,22.1,M2-N4,M2-N4,707.8471746,61.63346614,240.2453702,46
Pd,0.197074722,1,293.5333333,179.7142857,440.3,4373.804853,62.9,M3-M5,M3-M5,2014.641958,175.4183267,683.7752844,46
Ag,24.90757113,8,2.322506667,1.421942857,3.48376,34.60660094,0.49768,K$\beta$3,K_3,15.94033402,1.387952191,5.410195287,47
Ag,3.347239661,25,17.2823,10.581,25.92345,257.5155835,3.70335,"L$\beta$2,15","L$\beta$2,15",118.6156486,10.32806773,40.25849284,47
Ag,3.525196223,,16.40986667,10.04685714,24.6148,244.5158567,3.5164,Al2,Al2,112.627774,9.806693227,38.22619094,47
Ag,0.370029851,1,156.3333333,95.71428571,234.5,2329.450915,33.5,"M4,5O2,3","M4,5O2,3",1072.981011,93.42629482,364.1728462,47
Cd,3.527523562,25,16.39904,10.04022857,24.59856,244.3545335,3.51408,"L$\beta$2,15","L$\beta$2,15",112.553466,9.800223108,38.20097061,48
In,3.534675232,4,16.36586,10.01991429,24.54879,243.8601336,3.50697,L$\beta$4,L_4,112.3257378,9.780394422,38.123679,49
In,3.729578482,,15.5106,9.496285714,23.2659,231.1162987,3.3237,Al3,Al3,106.455731,9.269282869,36.13138176,49
Sn,28.70773506,,2.015066667,1.233714286,3.0226,30.02557926,0.4318,K$\beta$5+,K$\beta$5+,13.8302448,1.204223108,4.694024925,50
Sn,3.707658486,4,15.6023,9.552428571,23.40345,232.4826781,3.34335,L$\beta$4,L_4,107.0851064,9.324083665,36.34499359,50
Sn,0.262071882,1,220.7333333,135.1428571,331.1,3289.04562,47.3,M2-M4,M2-M4,1514.985129,131.9123506,514.1903172,50
Te,4.068784649,4,14.21751333,8.7046,21.32627,211.8486105,3.04661,L$\beta$4,L_4,97.58073667,8.496521912,33.11918313,52
Ba,0.788549618,10,73.36,44.91428571,110.04,1093.103534,15.72,M4-O3,M4-O3,503.5003432,43.84063745,170.8894669,56
Ba,0.600581395,1,96.32,58.97142857,144.48,1435.219907,20.64,MZ,MZ,661.08442,57.56175299,224.3739566,56
La,5.787655243,5,9.995066667,6.119428571,14.9926,148.9318797,2.1418,LG1,LG1,68.60032029,5.97314741,23.28314633,57
Ce,5.612351157,20,10.30726667,6.310571429,15.4609,153.5838279,2.2087,"L$\beta$2,15","L$\beta$2,15",70.74307939,6.159721116,24.01040494,58
Pr,5.032886724,100,11.494,7.037142857,17.241,171.2667941,2.463,L$\alpha$1,L_1,78.88812629,6.868924303,26.77485732,59
Pr,4.452426278,2,12.99246667,7.954571429,19.4887,193.594755,2.7841,L$\iota$,L_,89.17272935,7.764422311,30.26548123,59
Pr,6.8331404,,8.4658,5.183142857,12.6987,126.1449822,1.8141,Al1,Al1,58.10432395,5.059243028,19.72077493,59
Nd,6.208243602,,9.317933333,5.704857143,13.9769,138.8422281,1.9967,Al3,Al3,63.9528712,5.568486056,21.70578872,60
Sm,1.29125,1,44.8,27.42857143,67.2,667.5441428,9.6,Mg,Mg,307.4811256,26.77290837,104.3599798,62
Eu,7.479184265,5,7.734533333,4.735428571,11.6018,115.2487148,1.6574,LG1,LG1,53.08533516,4.622231076,18.01731568,63
Eu,7.618462295,,7.593133333,4.648857143,11.3897,113.1417786,1.6271,Al2,Al2,52.11484786,4.537729084,17.68792949,63
Eu,6.979336749,,8.288466667,5.074571429,12.4327,123.50262,1.7761,Al3,Al3,56.88721116,4.953266932,19.30768335,63
Gd,6.056282978,100,9.551733333,5.848,14.3276,142.3259741,2.0468,L$\alpha$1,L_1,65.55753832,5.708207171,22.25041736,64
Gd,6.686084142,5,8.652,5.297142857,12.978,128.9194626,1.854,L$\beta$4,L_4,59.38229238,5.170517928,20.1545211,64
Gd,8.08557824,1,7.154466667,4.380285714,10.7317,106.6054089,1.5331,LG2,LG2,49.10409517,4.275577689,16.66607136,64
Tb,1.460758897,1,39.60133333,24.24571429,59.402,590.0812079,8.486,Mg,Mg,271.8005033,23.66613546,92.24987382,65
Pd,2.98971111,42,19.34902667,11.84634286,29.02354,288.3109246,4.14622,L$\beta$1,L$\beta$1,132.8004576,11.56316335,45.07285786,46
Ag,3.350360821,,17.2662,10.57114286,25.8993,257.2756848,3.6999,Al3,Al3,118.5051476,10.31844622,40.22098847,47
Ag,0.40220636,,143.8266667,88.05714286,215.74,2143.094842,30.82,Am4,Am4,987.1425303,85.95219124,335.0390185,47
Cd,3.133190946,100,18.46296667,11.30385714,27.69445,275.1081531,3.95635,L$\alpha$1,L_1,126.7190574,11.03364542,43.00881314,48
Cd,0.638969072,50,90.53333333,55.42857143,135.8,1348.995455,19.4,M2-N4,M2-N4,621.368108,54.10358566,210.8941259,48
Cd,0.211175468,1,273.9333333,167.7142857,410.9,4081.75429,58.7,M3-M5,M3-M5,1880.118966,163.7051793,638.1177932,48
In,3.278731885,10,17.64340667,10.80208571,26.46511,262.8962674,3.78073,L$\alpha$2,L_2,121.0940746,10.54386853,41.09967776,49
In,4.159731544,2,13.90666667,8.514285714,20.86,207.2168277,2.98,"LG2,3","LG2,3",95.44726607,8.310756972,32.39507707,49
Sn,0.6198,1,93.33333333,57.14285714,140,1390.716964,20,M2-N1,M2-N1,640.5856783,55.77689243,217.4166246,50
Sb,4.100087651,17,14.10896667,8.638142857,21.16345,210.2312067,3.02335,"L$\beta$2,15","L$\beta$2,15",96.83573553,8.431653386,32.8663276,51
Sb,4.347048489,8,13.30742,8.1474,19.96113,198.2877294,2.85159,LG1,LG1,91.33438572,7.952641434,30.99915363,51
Sb,0.237471264,1,243.6,149.1428571,365.4,3629.771277,52.2,M3-M5,M3-M5,1671.92862,145.5776892,567.4573902,51
Te,4.119736916,6,14.04167333,8.596942857,21.06251,209.2284998,3.00893,L$\beta$3,L_3,96.37387326,8.391438247,32.70957021,52
Ce,0.877965862,100,65.88866667,40.34,98.833,981.7766409,14.119,MA,MA,452.2214596,39.37569721,153.4852661,58
Pr,5.848825139,20,9.890533333,6.055428571,14.8358,147.3742767,2.1194,"L$\beta$2,15","L$\beta$2,15",67.88286433,5.910677291,23.03963971,59
Pr,6.596775052,1,8.769133333,5.368857143,13.1537,130.6648124,1.8791,LG2,LG2,60.18622741,5.240517928,20.42737896,59
Nd,1.005515899,55,57.53066667,35.22285714,86.296,857.2379368,12.328,MB,MB,394.8570121,34.38087649,134.0156074,60
Nd,1.180009519,1,49.02333333,30.01428571,73.535,730.4740855,10.505,Mg,Mg,336.4676275,29.29681275,114.1980821,60
Gd,7.10169006,20,8.145666667,4.987142857,12.2185,121.3748231,1.7455,"L$\beta$2,15","L$\beta$2,15",55.90711508,4.867928287,18.97503591,64
Gd,1.17754346,100,49.126,30.07714286,73.689,732.0038741,10.527,MA,MA,337.1722718,29.35816733,114.4372404,64
Gd,0.91348563,2,63.32666667,38.77142857,94.99,943.6014603,13.57,MZ,MZ,434.6373827,37.84462151,147.5171798,64
Dy,8.751765038,1,6.609866667,4.046857143,9.9148,98.49057541,1.4164,LG3,LG3,45.36627774,3.950119522,15.39744535,66
Rh,0.189251908,1,305.6666667,187.1428571,458.5,4554.598058,65.5,M3-M5,M3-M5,2097.918097,182.6693227,712.0394456,45
Pd,21.121145,150,2.738866667,1.676857143,4.1083,40.81058932,0.5869,"K$\alpha$1,2","K_1,2",18.79798673,1.636772908,6.380090849,46
Pd,2.838126507,100,20.38246,12.47905714,30.57369,303.7096382,4.36767,L$\alpha$1,L_1,139.8933425,12.18075299,47.48020344,46
Pd,0.616716418,1,93.8,57.42857143,140.7,1397.670549,20.1,"M1-N2,3","M1-N2,3",643.7886067,56.05577689,218.5037077,46
Pd,0.21939823,1,263.6666667,161.4285714,395.5,3928.775424,56.5,M2-M4,M2-M4,1809.654541,157.5697211,614.2019645,46
Ag,3.202910421,5,18.06107333,11.0578,27.09161,269.1197258,3.87023,L$\beta$4,L_4,123.9606955,10.79347012,42.07261715,47
Cd,26.63915931,5,2.17154,1.329514286,3.25731,32.35711625,0.46533,K$\beta$2,K_2,14.90418668,1.297733068,5.058523896,48
Cd,3.71622837,10,15.56632,9.5304,23.34948,231.9465567,3.33564,LG1,LG1,106.8381606,9.302581673,36.26117949,48
Cd,0.605569126,100,95.52666667,58.48571429,143.29,1423.398813,20.47,Mg,Mg,655.6394418,57.0876494,222.5259153,48
Sn,25.03989496,50,2.310233333,1.414428571,3.46535,34.42372166,0.49505,K$\alpha$2,K_2,15.856097,1.38061753,5.381605001,50
Sn,28.48083816,19,2.03112,1.243542857,3.04668,30.26478258,0.43524,K$\beta$1,K_1,13.94042553,1.213816733,4.731420585,50
Sn,29.10474044,5,1.98758,1.216885714,2.98137,29.61601311,0.42591,K$\beta$2,K_2,13.64159231,1.187796813,4.629995729,50
Sn,3.66217905,75,15.79606,9.671057143,23.69409,235.3698065,3.38487,L$\beta$1,L$\beta$1,108.4149623,9.439876494,36.79635051,50
Sb,0.613663366,10,94.26666667,57.71428571,141.4,1404.624134,20.2,M3-N1,M3-N1,646.9915351,56.33466135,219.5907909,51
I,3.484430252,7,16.60185333,10.1644,24.90278,247.3765615,3.55754,L$\iota$,L_,113.9454587,9.921426295,38.67341694,53
Xe,5.451906584,,10.6106,6.496285714,15.9159,158.1036581,2.2737,Al1,Al1,72.82498284,6.340996016,24.71700897,54
Cs,4.648616215,5,12.44413333,7.618857143,18.6662,185.4242928,2.6666,L$\beta$4,L_4,85.40928849,7.436733068,28.98815856,55
Ba,5.622278665,,10.28906667,6.299428571,15.4336,153.3126381,2.2048,Al2,Al2,70.61816518,6.148844622,23.9680087,56
La,4.633447089,10,12.48487333,7.6438,18.72731,186.0313408,2.67533,L$\alpha$2,L_2,85.68890414,7.461079681,29.08306092,57
Ce,6.159809183,,9.3912,5.749714286,14.0868,139.9339409,2.0124,Al2,Al2,64.45573095,5.612270916,21.87646077,58
Ce,0.892440605,45,64.82,39.68571429,97.23,965.8529317,13.89,MB,MB,444.8867536,38.73705179,150.9958458,58
