No.,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Total,Comment
38,57.13,1.6339,18,6.53,0.142,2.29,3.51,4.46,5.41,0.8819,0.021,0.0097,100.0184,GProbe Mitte Grid 010x011 Grid 020x021
40,57.39,1.6134,18.08,6.44,0.1867,2.28,3.5,4.41,5.46,0.8698,0.0026,0,100.2324,GProbe Mitte Grid 010x011 Grid 020x021
41,57.33,1.6459,18.12,6.56,0.1553,2.22,3.52,4.36,5.46,0.8935,0.0157,0,100.2803,GProbe Mitte Grid 010x011 Grid 020x021
43,57.38,1.6216,18.11,6.51,0.1494,2.32,3.53,4.36,5.37,0.9038,0.0003,0.0177,100.2728,GProbe Mitte Grid 010x011 Grid 020x021
44,57.58,1.6389,18.06,6.5,0.1512,2.26,3.49,4.33,5.46,0.8613,0,0,100.3313,GProbe Mitte Grid 010x011 Grid 020x021
46,57.56,1.6401,18.08,6.56,0.1606,2.31,3.5,4.38,5.46,0.9209,0.0053,0,100.5768,GProbe Mitte Grid 010x011 Grid 020x021
47,57.88,1.6573,18.28,6.58,0.163,2.31,3.58,4.38,5.47,0.9083,0,0,101.2085,GProbe Mitte Grid 010x011 Grid 020x021
49,57.44,1.6585,18.23,6.58,0.1488,2.34,3.56,4.35,5.44,0.8972,0.0043,0,100.6488,GProbe Mitte Grid 010x011 Grid 020x021
50,56.83,1.6129,17.87,6.59,0.1418,2.27,3.5,4.86,5.45,0.8636,0.0228,0.0017,100.0127,GProbe Mitte Grid 010x011 Grid 020x021
52,56.63,1.5908,17.77,6.35,0.1639,2.23,3.5,4.74,5.43,0.9145,0,0.0148,99.3341,GProbe Mitte Grid 010x011 Grid 020x021
53,56.41,1.6121,17.77,6.4,0.155,2.23,3.51,4.78,5.44,0.9067,0,0,99.2139,GProbe Mitte Grid 010x011 Grid 020x021
55,56.41,1.5787,17.75,6.37,0.1363,2.26,3.48,4.81,5.4,0.8694,0,0,99.0645,GProbe Mitte Grid 010x011 Grid 020x021
56,56.62,1.5985,17.8,6.39,0.1675,2.28,3.51,4.78,5.42,0.9623,0.0046,0,99.533,GProbe Mitte Grid 010x011 Grid 020x021
58,56.86,1.6123,17.88,6.37,0.1475,2.25,3.51,4.82,5.44,0.8802,0,0,99.7701,GProbe Mitte Grid 010x011 Grid 020x021
59,56.58,1.6043,17.8,6.45,0.1618,2.3,3.47,4.82,5.41,0.9034,0.0069,0.006,99.5124,GProbe Mitte Grid 010x011 Grid 020x021
61,56.4,1.5989,17.73,6.4,0.164,2.28,3.49,4.74,5.44,0.8464,0,0.0118,99.1012,GProbe Mitte Grid 010x011 Grid 020x021
62,56.28,1.5914,17.74,6.46,0.1539,2.26,3.48,4.79,5.4,0.953,0.0091,0,99.1175,GProbe Mitte Grid 010x011 Grid 020x021
64,56.41,1.6085,17.83,6.37,0.1491,2.24,3.52,4.77,5.45,0.9046,0,0.0019,99.2542,GProbe Mitte Grid 010x011 Grid 020x021
65,56.37,1.6079,17.71,6.37,0.1702,2.25,3.49,4.81,5.45,0.8641,0.0013,0,99.0935,GProbe Mitte Grid 010x011 Grid 020x021
67,56.33,1.6109,17.74,6.38,0.187,2.24,3.5,4.79,5.41,0.915,0,0.0155,99.1185,GProbe Mitte Grid 010x011 Grid 020x021
68,56.45,1.6174,17.82,6.51,0.152,2.27,3.49,4.82,5.43,0.8583,0.0128,0.0042,99.4348,GProbe Mitte Grid 010x011 Grid 020x021
70,56.79,1.6408,17.88,6.49,0.1502,2.28,3.54,4.81,5.47,0.8482,0.0017,0,99.9009,GProbe Mitte Grid 010x011 Grid 020x021
71,56.87,1.6251,17.96,6.54,0.1476,2.3,3.55,4.86,5.45,0.9058,0,0,100.2084,GProbe Mitte Grid 010x011 Grid 020x021
73,56.78,1.6161,17.92,6.49,0.1655,2.28,3.55,4.8,5.48,0.9191,0,0,100.0006,GProbe Mitte Grid 010x011 Grid 020x021
74,56.88,1.6071,17.99,6.5,0.1629,2.31,3.53,4.8,5.48,0.906,0,0.0071,100.1731,GProbe Mitte Grid 010x011 Grid 020x021
76,56.75,1.623,17.96,6.42,0.1581,2.29,3.59,4.74,5.48,0.8745,0,0.0358,99.9214,GProbe Mitte Grid 010x011 Grid 020x021
77,56.65,1.5997,17.92,6.45,0.1672,2.24,3.54,4.79,5.47,0.8696,0.0008,0,99.6973,GProbe Mitte Grid 010x011 Grid 020x021
79,56.87,1.6049,17.96,6.41,0.169,2.3,3.51,4.8,5.47,0.901,0.0047,0.0113,100.0108,GProbe Mitte Grid 010x011 Grid 020x021
80,56.83,1.5958,17.9,6.33,0.163,2.23,3.53,4.78,5.4,0.8756,0,0.0172,99.6517,GProbe Mitte Grid 010x011 Grid 020x021
82,56.62,1.599,17.74,6.38,0.1607,2.26,3.51,4.75,5.41,0.8942,0.0147,0.0135,99.3522,GProbe Mitte Grid 010x011 Grid 020x021
83,56.1,1.5698,17.73,6.38,0.1975,2.21,3.54,4.76,5.39,0.8569,0,0,98.7343,GProbe Mitte Grid 010x011 Grid 020x021
85,56.45,1.608,17.74,6.3,0.1401,2.27,3.47,4.75,5.4,0.9094,0.007,0,99.0446,GProbe Mitte Grid 010x011 Grid 020x021
86,56.29,1.5661,17.79,6.38,0.152,2.22,3.51,4.68,5.43,0.9017,0,0,98.9199,GProbe Mitte Grid 010x011 Grid 020x021
88,56.33,1.6002,17.76,6.45,0.1753,2.26,3.49,4.79,5.42,0.8695,0.0025,0,99.1476,GProbe Mitte Grid 010x011 Grid 020x021
89,56.71,1.5953,17.92,6.47,0.1545,2.34,3.53,4.75,5.44,0.9161,0,0,99.826,GProbe Mitte Grid 010x011 Grid 020x021
91,56.64,1.6138,17.81,6.46,0.1518,2.26,3.54,4.81,5.45,0.9069,0,0,99.6425,GProbe Mitte Grid 010x011 Grid 020x021
92,56.76,1.6084,17.9,6.47,0.1482,2.27,3.51,4.75,5.45,0.9125,0,0.0193,99.7984,GProbe Mitte Grid 010x011 Grid 020x021
94,56.7,1.6184,17.88,6.37,0.1849,2.27,3.56,4.75,5.45,0.8844,0,0,99.6677,GProbe Mitte Grid 010x011 Grid 020x021
95,56.66,1.5841,17.93,6.4,0.1698,2.28,3.5,4.77,5.44,0.8862,0,0.0009,99.6211,GProbe Mitte Grid 010x011 Grid 020x021
97,56.72,1.5862,17.93,6.41,0.1791,2.29,3.54,4.78,5.49,0.907,0.0076,0,99.84,GProbe Mitte Grid 010x011 Grid 020x021
98,56.74,1.617,17.83,6.38,0.1269,2.26,3.56,4.79,5.44,0.8895,0.0047,0,99.6382,GProbe Mitte Grid 010x011 Grid 020x021
